trip_trip_id,trip_schedule_relationship,trip_route_id,trip_direction_id,position_latitude,position_longitude,current_stop_sequence,current_status,timestamp,stop_id,vehicle_id,vehicle_license_plate,entity_id
2952_20250401_123_0_14,0,123_0,0,38.73482132,-9.165120125,23,2,1747481069,2710,1729,25-AS-41,1729_701
45254_20250401_279_0_9,0,279_0,0,38.74377823,-9.205730438,14,2,1747481066,8814,2984,30-VM-04,2984_72B
5827_20250401_200_0_10,0,200_0,1,38.77230072,-9.102379799,0,2,1747481076,,2651,05-VZ-54,2651_744
6138_20250401_169_0_14,0,169_0,1,38.72237015,-9.200779915,6,2,1747481069,14311,2665,87-XB-33,2665_748
48781_20250401_75_8_16,0,75_8,1,38.71382141,-9.16108036,14,2,1747481073,8112,272,AH-26-IN,272_28E
6635_20250401_118_0_10,0,118_0,0,38.75605011,-9.119150162,18,2,1747481043,8426,2645,87-VS-49,2645_755
35053_20250401_244_0_9,0,244_0,0,38.74250031,-9.158379555,3,2,1747481053,50539,2983,30-VM-08,2983_52B
48782_20250401_75_8_14,0,75_8,0,38.71334839,-9.159199715,6,2,1747480931,8111,262,AF-49-ZD,262_28E
35089_20250401_219_0_8,0,219_0,0,38.71403122,-9.20596981,15,2,1747481050,12906,276,AH-12-TB,276_76B
18825_20250401_199_0_9,0,199_0,0,38.73598099,-9.145270348,7,2,1747481046,1807,4635,90-JI-95,4635_736
35076_20250401_238_0_12,0,238_0,0,38.71636963,-9.167920113,17,2,1747481048,8007,274,AH-14-TB,274_64B
4059_20250401_143_0_10,0,143_0,1,38.73522949,-9.140729904,22,2,1747481070,11102,2742,AG-94-TG,2742_720
35097_20250401_227_0_11,0,227_0,0,38.74757004,-9.167449951,3,2,1747481063,12703,256,AF-57-RM,256_58B
4252_20250401_197_2_14,0,197_2,1,38.79019928,-9.123080254,3,2,1747481074,50178,2608,66-VI-39,2608_725
6716_20250401_175_0_12,0,175_0,0,38.7389183,-9.123250008,0,2,1747481048,,2731,AG-49-EI,2731_756
3944_20250401_105_0_12,0,105_0,0,38.74407959,-9.101320267,11,2,1747481058,12524,2631,52-VP-80,2631_718
5702_20250401_114_0_8,0,114_0,0,38.73754883,-9.143670082,22,2,1747481073,11118,2735,AG-37-EI,2735_742
35096_20250401_221_0_9,0,221_0,0,38.69625092,-9.219949722,1,2,1747481073,4210,282,AI-47-OJ,282_79B
3955_20250401_105_0_11,0,105_0,1,38.74489975,-9.103079796,22,2,1747481049,12523,2625,72-VP-79,2625_718
7344_20250401_111_2_8,0,111_2,1,38.74398041,-9.167730331,32,2,1747481070,1603,2274,76-79-ZG,2274_768
6095_20250401_177_0_13,0,177_0,1,38.76654816,-9.178770065,11,2,1747481048,12830,2402,50-AL-13,2402_747
7252_20250401_112_0_5,0,112_0,0,38.75252914,-9.206999779,40,2,1747481063,50386,2443,29-AX-05,2443_767
4040_20250401_143_0_8,0,143_0,0,38.74224854,-9.132719994,6,2,1747481057,301,2490,55-BH-01,2490_720
8033_20250401_115_0_9,0,115_0,1,38.75559998,-9.11289978,9,2,1747481059,24368,1701,39-AB-08,1701_794
7080_20250401_171_0_2,0,171_0,1,38.7132988,-9.136449814,33,2,1747481053,913,6044,BG-87-LX,6044_760
4493_20250401_103_0_7,0,103_0,0,38.7260704,-9.150300026,13,2,1747481070,1206,2780,AI-06-BT,2780_727
3395_20250401_148_0_16,0,148_0,0,38.71469879,-9.162469864,10,2,1747481054,8110,2785,AI-05-BT,2785_709
4763_20250401_104_0_8,0,104_0,0,38.71369934,-9.197330475,25,2,1747481074,12928,2404,50-AL-11,2404_729
6838_20250401_150_0_5,0,150_0,0,38.72383118,-9.160570145,11,2,1747481041,8511,2246,22-38-ZB,2246_758
5537_20250401_117_0_8,0,117_0,1,38.74111938,-9.146369934,21,2,1747481069,1805,2709,92-XQ-42,2709_738
3536_20250401_189_2_16,0,189_2,1,38.7153511,-9.120699883,18,2,1747481073,2128,2714,92-XQ-38,2714_712
6533_20250401_167_0_11,0,167_0,0,38.7254982,-9.148280144,3,2,1747481067,1202,2822,BF-54-FZ,2822_753
4210_20250401_178_0_14,0,178_0,1,38.7349205,-9.2019701,16,2,1747481046,8826,2293,92-57-ZM,2293_724
5218_20250401_172_0_8,0,172_0,1,38.70978165,-9.128479958,35,2,1747481075,3801,1727,25-AS-39,1727_735
3125_20250401_165_0_9,0,165_0,0,38.78636932,-9.142149925,0,2,1747481064,,2478,91-BE-80,2478_703
5347_20250401_199_0_10,0,199_0,1,38.78673172,-9.179349899,2,2,1747481051,15103,4639,27-JO-13,4639_736
5490_20250401_173_0_12,0,173_0,0,38.71009827,-9.132470131,2,2,1747481072,5601,2969,30-VM-09,2969_737
3775_20250401_170_0_9,0,170_0,1,38.79227829,-9.15075016,5,2,1747481074,11603,1746,92-HR-03,1746_717
3031_20250401_146_0_19,0,146_0,0,38.73498154,-9.1707201,11,2,1747481062,2707,2971,29-VM-98,2971_702
5367_20250401_199_0_7,0,199_0,0,38.79098129,-9.16740036,25,2,1747481054,7207,4636,90-JI-97,4636_736
6451_20250401_109_0_13,0,109_0,0,38.70811844,-9.173780441,7,2,1747481050,9425,4812,20-VQ-70,4812_751
7986_20250401_145_0_13,0,145_0,1,38.7369194,-9.112680435,23,2,1747480979,3712,2802,01-IH-91,2802_793
7997_20250401_145_0_11,0,145_0,1,38.74205017,-9.133480072,2,2,1747481062,308,2807,01-IH-96,2807_793
4242_20250401_197_2_19,0,197_2,0,38.76815033,-9.098529816,2,2,1747481050,7805,2817,90-II-57,2817_725
6733_20250401_175_0_10,0,175_0,0,38.73983002,-9.15141964,11,2,1747481001,1914,2806,01-IH-95,2806_756
4804_20250401_104_0_6,0,104_0,1,38.76921844,-9.189069748,42,2,1747481065,14106,2459,74-BC-74,2459_729
5327_20250401_199_0_10,0,199_0,1,38.76541901,-9.157320023,13,2,1747481071,5814,4640,02-JN-87,4640_736
5207_20250401_172_0_9,0,172_0,0,38.71987915,-9.123330116,10,2,1747481045,9115,1753,34-HU-19,1753_735
4468_20250401_103_0_7,0,103_0,1,38.70785141,-9.20265007,7,2,1747481065,12915,2761,AH-33-ND,2761_727
19376_20250401_232_0_16,0,232_0,0,38.77841949,-9.155380249,13,2,1747481050,11517,231,84-47-XQ,231_41B
4311_20250401_116_0_8,0,116_0,1,38.73817825,-9.161829948,18,2,1747481072,1602,2455,16-AZ-12,2455_726
7322_20250401_111_2_10,0,111_2,1,38.77983093,-9.169199944,7,2,1747481068,50643,2410,92-AO-46,2410_768
3583_20250401_122_0_8,0,122_0,1,38.73516846,-9.14260006,35,2,1747481055,11101,2777,AI-01-BT,2777_713
2955_20250401_123_0_12,0,123_0,0,38.74837875,-9.1479702,5,2,1747481062,2006,2734,AG-50-EI,2734_701
3676_20250401_102_0_9,0,102_0,0,38.69742966,-9.198579788,19,2,1747481070,4112,2790,AI-54-TL,2790_714
4490_20250401_103_0_7,0,103_0,0,38.72087097,-9.153019905,15,2,1747481066,6806,2756,AH-27-ND,2756_727
5662_20250401_114_0_7,0,114_0,0,38.71030045,-9.195480347,56,2,1747481057,10314,2499,03-BM-58,2499_742
4141_20250401_121_0_8,0,121_0,0,38.72064972,-9.197580338,12,2,1747481053,21301,2300,83-13-ZM,2300_723
3632_20250401_102_0_8,0,102_0,1,38.7065506,-9.157099724,34,2,1747481048,3911,2797,AJ-57-LI,2797_714
5192_20250401_172_0_7,0,172_0,0,38.71429825,-9.122870445,6,2,1747481062,2101,1773,53-HX-06,1773_735
6581_20250401_201_2_12,0,201_2,1,38.74522018,-9.202750206,17,2,1747481046,8813,2759,AH-21-ND,2759_754
4471_20250401_103_0_6,0,103_0,0,38.69760132,-9.193099976,34,2,1747481052,9508,2784,AI-09-BT,2784_727
3797_20250401_170_0_9,0,170_0,0,38.7746315,-9.147480011,24,2,1747481063,11501,1706,69-AL-69,1706_717
4292_20250401_116_0_8,0,116_0,1,38.73817825,-9.154780388,21,2,1747481051,1504,2480,91-BE-75,2480_726
4807_20250401_104_0_9,0,104_0,1,38.74993134,-9.203069687,28,2,1747481055,10920,2413,92-AO-50,2413_729
4289_20250401_116_0_9,0,116_0,0,38.72665024,-9.136449814,5,2,1747481076,605,2454,16-AZ-18,2454_726
3150_20250401_165_0_10,0,165_0,1,38.75270081,-9.18832016,9,2,1747481056,10813,2482,55-BH-02,2482_703
5253_20250401_172_0_7,0,172_0,0,38.72872925,-9.128100395,21,2,1747481045,411,1768,63-HX-23,1768_735
4449_20250401_103_0_7,0,103_0,1,38.70544815,-9.176369667,19,2,1747481055,12105,2666,87-XB-39,2666_727
5760_20250401_114_0_3,0,114_0,0,38.70372009,-9.195019722,48,2,1747479108,13410,1756,34-HU-22,1756_742
4314_20250401_116_0_8,0,116_0,1,38.76163101,-9.196769714,4,2,1747481055,13907,2487,54-BH-97,2487_726
8045_20250401_115_0_10,0,115_0,0,38.76847076,-9.104149818,37,2,1747481052,2315,1757,34-HU-23,1757_794
3828_20250401_170_0_9,0,170_0,0,38.74853134,-9.130829811,5,2,1747481060,313,1754,34-HU-20,1754_717
4785_20250401_104_0_7,0,104_0,0,38.76177979,-9.19715023,7,2,1747481060,13911,2470,74-BC-71,2470_729
6832_20250401_150_0_9,0,150_0,0,38.7445488,-9.179280281,22,2,1747481055,10704,2344,53-60-ZJ,2344_758
4782_20250401_104_0_8,0,104_0,0,38.74427032,-9.195830345,18,2,1747481072,2805,2412,92-AO-48,2412_729
3654_20250401_102_0_10,0,102_0,1,38.72068024,-9.219280243,5,2,1747481072,18711,2774,AH-22-ND,2774_714
7207_20250401_112_0_4,0,112_0,1,38.72954941,-9.140469551,41,2,1747481068,6903,2447,44-BC-33,2447_767
3806_20250401_170_0_6,0,170_0,0,38.75770187,-9.153100014,14,2,1747481066,5705,1772,63-HX-22,1772_717
8056_20250401_115_0_10,0,115_0,0,38.75236893,-9.123279572,18,2,1747481070,14728,1760,34-HU-26,1760_794
35059_20250401_236_0_12,0,236_0,0,38.7056694,-9.143899918,16,2,1747481070,3804,406,BF-93-TB,406_22B
5233_20250401_172_0_8,0,172_0,1,38.74702072,-9.156169891,1,2,1747481059,13512,2497,88-BL-71,2497_735
6077_20250401_177_0_13,0,177_0,0,38.76016998,-9.156999588,2,2,1747481062,5807,2461,55-BH-04,2461_747
7266_20250401_112_0_8,0,112_0,1,38.75268173,-9.209630013,0,2,1747481057,,2422,29-AU-17,2422_767
5008_20250401_190_0_8,0,190_0,1,38.77795029,-9.103580475,7,2,1747481074,7904,2285,67-55-ZJ,2285_731
5476_20250401_173_0_17,0,173_0,1,38.71232986,-9.135979652,6,2,1747481047,913,2967,30-VM-05,2967_737
7187_20250401_112_0_7,0,112_0,0,38.76165009,-9.166230202,21,2,1747481066,50013,2437,29-AX-09,2437_767
7243_20250401_112_0_6,0,112_0,1,38.75910187,-9.181079865,20,2,1747481054,12803,2423,29-AU-18,2423_767
3588_20250401_122_0_8,0,122_0,1,38.71802902,-9.156979561,22,2,1747481046,6801,2758,AH-36-ND,2758_713
7530_20250401_179_0_13,0,179_0,0,38.76111984,-9.191300392,21,2,1747481072,12825,2420,29-AU-15,2420_778
8075_20250401_115_0_8,0,115_0,1,38.72576904,-9.113050461,32,2,1747481071,8320,1766,63-HX-33,1766_794
3731_20250401_164_0_10,0,164_0,1,38.75062943,-9.197649956,4,2,1747481071,10905,2465,55-BH-00,2465_716
3847_20250401_170_0_8,0,170_0,1,38.75569916,-9.149000168,27,2,1747481049,5706,1765,63-HX-28,1765_717
8065_20250401_115_0_11,0,115_0,0,38.70755005,-9.133000374,0,2,1747481048,,1763,63-HX-25,1763_794
6328_20250401_106_0_8,0,106_0,1,38.75582123,-9.182849884,20,2,1747481062,10809,4612,96-GL-89,4612_750
4693_20250401_204_0_7,0,204_0,1,38.72122955,-9.114850044,27,2,1747481058,9812,4603,96-GL-81,4603_728
3858_20250401_170_0_6,0,170_0,1,38.77429962,-9.159199715,19,2,1747480962,5930,1761,63-HX-19,1761_717
7374_20250401_124_0_17,0,124_0,0,38.71508026,-9.149530411,5,2,1747481064,50075,225,84-37-XQ,225_773
4189_20250401_178_0_13,0,178_0,0,38.75642014,-9.200400352,23,2,1747481066,13706,2297,83-06-ZM,2297_724
4062_20250401_143_0_11,0,143_0,1,38.70418167,-9.173830032,6,2,1747481044,4001,2491,54-BH-98,2491_720
35078_20250401_220_0_8,0,220_0,0,38.69997025,-9.1917696,5,2,1747481067,9510,408,BF-24-TS,408_73B
7221_20250401_112_0_6,0,112_0,1,38.72948074,-9.140469551,41,2,1747481054,6903,2401,50-AL-14,2401_767
7394_20250401_124_0_14,0,124_0,1,38.71514893,-9.149029732,22,2,1747481059,6715,228,84-39-XQ,228_773
3136_20250401_165_0_10,0,165_0,1,38.77376938,-9.161430359,26,2,1747481050,5905,2474,74-BC-67,2474_703
11255_20250401_76_0_4,0,76_0,1,38.69847107,-9.22535038,2,2,1747481065,4219,609,,609_15E
4760_20250401_104_0_9,0,104_0,1,38.69741821,-9.222649574,2,2,1747481050,4209,2406,50-AL-09,2406_729
4990_20250401_190_0_9,0,190_0,0,38.76715088,-9.11950016,22,2,1747481056,8403,2289,92-60-ZM,2289_731
3657_20250401_102_0_6,0,102_0,0,38.7282486,-9.209320068,31,2,1747481063,18102,2788,AI-51-TL,2788_714
6483_20250401_109_0_9,0,109_0,0,38.7093811,-9.22451973,27,2,1747481052,18402,2831,BF-72-FZ,2831_751
3716_20250401_164_0_11,0,164_0,0,38.73817825,-9.145999908,1,2,1747481068,10915,2434,29-AU-24,2434_716
3739_20250401_164_0_9,0,164_0,0,38.7383194,-9.16201973,10,2,1747481074,1507,2464,91-BE-71,2464_716
5259_20250401_172_0_6,0,172_0,1,38.75407028,-9.150620461,0,2,1747481060,,1726,25-AS-38,1726_735
6963_20250401_144_0_6,0,144_0,1,38.75883102,-9.112170219,19,2,1747481070,8413,2610,66-VI-20,2610_759
4207_20250401_178_0_13,0,178_0,0,38.70682144,-9.178930283,0,2,1747481068,,2290,92-55-ZM,2290_724
3542_20250401_189_2_14,0,189_2,1,38.72687912,-9.146619797,3,2,1747481045,1201,2773,AH-39-ND,2773_712
2934_20250401_123_0_10,0,123_0,0,38.7412796,-9.168430328,19,2,1747481053,1612,1728,25-AS-40,1728_701
3225_20250401_147_0_9,0,147_0,1,38.7324791,-9.129570007,11,2,1747481055,7011,6012,67-ZF-26,6012_706
4597_20250401_204_0_4,0,204_0,0,38.70785141,-9.133230209,22,2,1747481067,4505,2825,BF-53-FZ,2825_728
7199_20250401_112_0_7,0,112_0,0,38.75514984,-9.144980431,15,2,1747481045,106,2418,92-AO-54,2418_767
4573_20250401_204_0_7,0,204_0,1,38.76594925,-9.09803009,10,2,1747481052,2511,2843,BF-63-FZ,2843_728
19279_20250401_178_0_8,0,178_0,1,38.75627899,-9.203949928,4,2,1747481015,13712,2296,92-51-ZM,2296_724
3526_20250401_189_2_16,0,189_2,0,38.72177887,-9.130669594,9,2,1747480972,9125,2789,AI-53-TL,2789_712
5744_20250401_114_0_7,0,114_0,1,38.73080063,-9.156620026,32,2,1747481056,6116,2212,08-05-XS,2212_742
5741_20250401_114_0_6,0,114_0,1,38.73464966,-9.137220383,40,2,1747481070,11115,2216,08-00-XS,2216_742
5683_20250401_114_0_7,0,114_0,0,38.70584869,-9.176030159,39,2,1747481055,12110,2223,08-16-XS,2223_742
5680_20250401_114_0_5,0,114_0,0,38.70325089,-9.192649841,46,2,1747481047,13406,2221,07-95-XS,2221_742
35080_20250401_247_0_8,0,247_0,0,38.72246933,-9.139320374,10,2,1747481052,9211,234,13-31-XZ,234_17B
14947_20250401_75_0_12,0,75_0,0,38.71226883,-9.130450249,13,2,1747481068,13812,561,,561_28E
14987_20250401_75_0_13,0,75_0,1,38.72127151,-9.129899979,16,2,1747480900,9130,566,,566_28E
14896_20250401_75_0_6,0,75_0,0,38.70972061,-9.136779785,17,2,1747481045,5602,568,,568_28E
5705_20250401_114_0_7,0,114_0,0,38.73350143,-9.133429527,17,2,1747481062,503,2226,06-35-XX,2226_742
5724_20250401_114_0_8,0,114_0,0,38.72610092,-9.112279892,7,2,1747481070,8302,2228,06-24-XX,2228_742
6794_20250401_150_0_9,0,150_0,0,38.72386932,-9.160869598,27,2,1747481065,10802,2237,06-27-XX,2237_758
7404_20250401_124_0_10,0,124_0,1,38.70674896,-9.173199654,0,2,1747481060,,230,13-33-XZ,230_773
7338_20250401_111_2_10,0,111_2,0,38.75471878,-9.179479599,13,2,1747481076,13612,2234,06-26-XX,2234_768
4593_20250401_204_0_6,0,204_0,0,38.77317047,-9.104649544,44,2,1747481055,7803,2835,BF-62-FZ,2835_728
11213_20250401_76_0_4,0,76_0,1,38.70698166,-9.141619682,21,2,1747481053,3823,615,,615_15E
35088_20250401_245_0_6,0,245_0,0,38.72322083,-9.143500328,2,2,1747481049,9205,407,BF-55-TT,407_19B
11290_20250401_76_0_11,0,76_0,0,38.69742966,-9.194629669,14,2,1747481066,9508,613,,613_15E
4577_20250401_204_0_6,0,204_0,0,38.77185059,-9.104519844,44,2,1747481060,7803,2832,BF-68-FZ,2832_728
